,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN5762_c0_g1_i4,Pol,Fer,8.698494586,1.79E-05,0.000983738,TT9_ARATH,up
TRINITY_DN6149_c0_g1_i6,Pol,Fer,8.696068599,4.94E-05,0.002145227,Y3130_ARATH,up
TRINITY_DN9949_c0_g1_i3,Pol,Fer,8.684520458,3.02E-05,0.001455189,CHUP1_ARATH,up
TRINITY_DN7521_c0_g1_i5,Pol,Fer,8.676520469,7.50E-06,0.000521721,FZL_ARATH,up
TRINITY_DN4397_c0_g1_i18,Pol,Fer,8.676450668,1.55E-05,0.00087859,ARP_ARATH,up
TRINITY_DN5873_c0_g1_i11,Pol,Fer,8.67178227,7.75E-06,0.00053574,FEI1_ARATH,up
TRINITY_DN10871_c0_g1_i25,Pol,Fer,8.670659346,6.22E-06,0.000455071,NAP1B_ORYSJ,up
TRINITY_DN6981_c0_g1_i2,Pol,Fer,8.658892871,9.58E-06,0.000640492,Y5830_ARATH,up
TRINITY_DN5190_c0_g1_i18,Pol,Fer,8.656917996,1.01E-05,0.000660961,C3H55_ORYSJ,up
TRINITY_DN173_c0_g1_i13,Pol,Fer,8.654524926,2.31E-05,0.001190307,HSP7S_PEA,up
TRINITY_DN3429_c0_g1_i2,Pol,Fer,8.651563584,2.63E-05,0.001313041,ICR3_ARATH,up
TRINITY_DN806_c0_g1_i21,Pol,Fer,8.65055574,1.06E-05,0.000684593,Y3148_ARATH,up
TRINITY_DN14281_c0_g1_i12,Pol,Fer,8.637219139,4.11E-05,0.001846499,PP147_ARATH,up
TRINITY_DN618_c0_g1_i8,Pol,Fer,8.637161765,7.18E-06,0.000506402,ACINU_MOUSE,up
TRINITY_DN55_c0_g1_i16,Pol,Fer,8.634752265,1.15E-05,0.000732867,CUL1_ORYSJ,up
TRINITY_DN4363_c0_g1_i24,Pol,Fer,8.631902997,6.98E-06,0.000496241,NRPC2_ARATH,up
TRINITY_DN3673_c0_g1_i11,Pol,Fer,8.629728695,6.56E-06,0.000469781,DPOD3_MOUSE,up
TRINITY_DN925_c0_g1_i5,Pol,Fer,8.620766226,8.24E-06,0.000567015,NIC1_ARATH,up
TRINITY_DN1693_c0_g1_i6,Pol,Fer,8.620071766,6.85E-06,0.000487919,ILK1_ARATH,up
TRINITY_DN2836_c0_g1_i1,Pol,Fer,8.618476026,1.25E-05,0.000775827,GLPT1_ARATH,up
TRINITY_DN3360_c0_g1_i2,Pol,Fer,8.613543803,1.30E-05,0.000793755,TPT_SOLTU,up
TRINITY_DN5606_c0_g1_i5,Pol,Fer,8.610042592,1.33E-05,0.000804661,SBT3_LOTJA,up
